epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,921.565,0.92648,0.62483,1.10252,0.9907,0.99685,0.995,0.79121,0.83805,0.40222,1.06017,0.0070102,0.0070102,0.0070102
153,927.149,0.91963,0.64344,1.11909,0.99135,0.99301,0.99494,0.78609,0.82886,0.40052,1.0517,0.0069904,0.0069904,0.0069904
154,933.956,0.92678,0.61137,1.10053,0.98046,0.99614,0.99495,0.75008,0.89342,0.4132,1.09219,0.0069706,0.0069706,0.0069706
155,939.219,0.91358,0.6021,1.09256,0.99132,0.99766,0.995,0.74239,0.97765,0.41724,1.14129,0.0069508,0.0069508,0.0069508
156,946.263,0.91518,0.61874,1.09952,0.98865,0.99527,0.995,0.76505,0.93677,0.41315,1.12779,0.006931,0.006931,0.006931
157,951.752,0.9238,0.6209,1.10537,0.99549,0.99972,0.995,0.81176,0.77625,0.37853,1.02684,0.0069112,0.0069112,0.0069112
158,957.927,0.90825,0.61329,1.09566,0.99433,0.99808,0.99499,0.81589,0.77024,0.38203,1.02488,0.0068914,0.0068914,0.0068914
159,964.224,0.90551,0.61226,1.1029,0.99175,0.99781,0.99497,0.78748,0.84679,0.39651,1.0513,0.0068716,0.0068716,0.0068716
160,969.632,0.92372,0.59736,1.09494,0.98968,0.99409,0.99492,0.78677,0.85884,0.40856,1.0682,0.0068518,0.0068518,0.0068518
161,976.504,0.90253,0.60888,1.10494,0.9886,0.99768,0.99467,0.7594,0.92432,0.41944,1.10412,0.006832,0.006832,0.006832
162,981.859,0.90952,0.57797,1.08499,0.99177,0.99801,0.99459,0.78529,0.8234,0.39858,1.04913,0.0068122,0.0068122,0.0068122
163,989.23,0.91187,0.61786,1.10706,0.99098,0.99839,0.99471,0.79889,0.78565,0.38938,1.03778,0.0067924,0.0067924,0.0067924
164,994.705,0.87148,0.59333,1.07936,0.99306,0.99834,0.99479,0.79014,0.82219,0.39573,1.05675,0.0067726,0.0067726,0.0067726
165,1001.6,0.90586,0.59636,1.08859,0.99034,0.99822,0.99462,0.78866,0.80713,0.38472,1.04668,0.0067528,0.0067528,0.0067528
166,1007.1,0.92467,0.60883,1.10509,0.99397,0.9996,0.995,0.81194,0.76795,0.37669,1.01994,0.006733,0.006733,0.006733
167,1013.2,0.89331,0.59912,1.0851,0.99547,0.99896,0.995,0.81491,0.74411,0.36923,1.01352,0.0067132,0.0067132,0.0067132
168,1019.56,0.91192,0.60133,1.09703,0.99489,0.99947,0.995,0.81754,0.76706,0.37015,1.03084,0.0066934,0.0066934,0.0066934
169,1025.23,0.87604,0.59138,1.07478,0.99246,0.99828,0.995,0.79394,0.83342,0.3914,1.06469,0.0066736,0.0066736,0.0066736
170,1032.28,0.88727,0.59809,1.0974,0.99109,0.99705,0.9946,0.79995,0.8129,0.39014,1.04799,0.0066538,0.0066538,0.0066538
171,1037.65,0.87847,0.59185,1.07607,0.98956,0.99352,0.995,0.81068,0.78897,0.38541,1.03981,0.006634,0.006634,0.006634
172,1044.52,0.89126,0.61642,1.10423,0.99288,0.99285,0.99497,0.79472,0.82159,0.39389,1.05481,0.0066142,0.0066142,0.0066142
173,1049.87,0.87597,0.5848,1.07718,0.99341,0.9975,0.99499,0.80627,0.7877,0.37959,1.03084,0.0065944,0.0065944,0.0065944
174,1055.95,0.87791,0.57034,1.07312,0.99378,0.99818,0.99499,0.81545,0.74961,0.37159,1.00236,0.0065746,0.0065746,0.0065746
175,1062.28,0.88705,0.57203,1.07821,0.99473,0.99131,0.995,0.82055,0.72554,0.36987,0.99796,0.0065548,0.0065548,0.0065548
176,1067.77,0.85759,0.56803,1.0674,0.96219,0.98012,0.99353,0.77575,0.86408,0.40442,1.0687,0.006535,0.006535,0.006535
177,1074.8,0.8771,0.57733,1.07275,0.98795,0.993,0.99495,0.80804,0.76257,0.38369,1.01232,0.0065152,0.0065152,0.0065152
178,1080.09,0.87758,0.57653,1.0713,0.9903,0.99419,0.995,0.78626,0.8762,0.39354,1.08092,0.0064954,0.0064954,0.0064954
179,1087.23,0.8666,0.57581,1.07082,0.99405,0.99824,0.995,0.81744,0.76814,0.37083,1.01229,0.0064756,0.0064756,0.0064756
180,1092.55,0.86203,0.57146,1.0806,0.98703,0.99061,0.99429,0.78379,0.88187,0.41148,1.0816,0.0064558,0.0064558,0.0064558
181,1098.59,0.85602,0.5574,1.06185,0.99203,0.9992,0.995,0.80959,0.77771,0.37101,1.02465,0.006436,0.006436,0.006436
182,1104.63,0.86613,0.56224,1.07165,0.99402,0.99973,0.995,0.81583,0.74232,0.36286,1.00812,0.0064162,0.0064162,0.0064162
183,1109.87,0.88474,0.59174,1.08501,0.99543,1,0.99499,0.81515,0.74031,0.35194,1.01391,0.0063964,0.0063964,0.0063964
